Player,height,weight,college,born,birth_city,birth_state
Lindsey Hunter,188,77,Jackson State University,1970,Utica,Mississippi
Bobby Hurley,183,74,Duke University,1971,Jersey City,New Jersey
Stanley Jackson,190,83,University of Alabama at Birmingham,1970,Tuskegee,Alabama
Chris Jent,201,99,Ohio State University,1970,Orange,California
Ervin Johnson,188,92,University of Nebraska,1966,Brooklyn,New York
Popeye Jones,203,113,Murray State University,1970,Dresden,Tennessee
Adonis Jordan,180,77,University of Kansas,1970,Brooklyn,New York
Reggie Jordan,193,88,New Mexico State University,1968,Chicago,Illinois
Warren Kidd,206,106,Middle Tennessee State University,1970,Harpersville,Alabama
Chris King,203,97,Wake Forest University,1969,Newton Grove,North Carolina
Toni Kukoc,208,87,,1968,Split,Croatia
George Lynch,203,98,University of North Carolina,1970,Roanoke,Virginia
Malcolm Mackey,206,112,Georgia Institute of Technology,1970,Chattanooga,Tennessee
Gerald Madkins,193,90,"University of California, Los Angeles",1969,Merced,California
Bob Martin,213,113,University of Minnesota,1969,Minneapolis,Minnesota
Jamal Mashburn,203,108,University of Kentucky,1972,New York,New York
Darnell Mee,196,79,Western Kentucky University,1971,Cleveland,Tennessee
Chris Mills,198,97,University of Arizona,1970,Los Angeles,California
Darren Morningstar,208,106,University of Pittsburgh,1969,Stevenson,Washington
Gheorghe Muresan,231,137,,1971,Triteni,Romania
Bo Outlaw,203,95,University of Houston,1971,San Antonio,Texas
Mike Peplowski,208,122,Michigan State University,1970,Detroit,Michigan
Richard Petruska,208,117,"University of California, Los Angeles",1969,Levice,Slovakia
Dino Radja,211,102,,1967,Split,Croatia
Isaiah Rider,196,97,"University of Nevada, Las Vegas",1971,Oakland,California
Eric Riley,213,111,University of Michigan,1970,Cleveland,Ohio
James Robinson,198,95,"University of Nevada, Las Vegas",1955,Los Angeles,California
Rodney Rogers,201,106,Wake Forest University,1971,Durham,North Carolina
Bryon Russell,201,102,"California State University, Long Beach",1970,San Bernardino,California
Kevin Thompson,211,117,North Carolina State University,1971,Winston-Salem,North Carolina
Keith Tower,211,113,University of Notre Dame,1970,Libby,Montana
Nick Van,211,113,,1970,,
Rex Walters,193,86,University of Kansas,1970,Omaha,Nebraska
Chris Webber,206,111,University of Michigan,1973,Detroit,Michigan
Matt Wenstrom,216,113,University of North Carolina,1970,Minneapolis,Minnesota
David Wesley,183,86,Baylor University,1970,San Antonio,Texas
Chris Whitney,183,76,Clemson University,1971,Hopkinsville,Kentucky
Aaron Williams,206,99,Xavier University,1971,Evanston,Illinois
Luther Wright,218,122,Seton Hall University,1971,Jersey City,New Jersey
Derrick Alston,211,102,Duquesne University,1972,Bronx,New York
Darrell Armstrong,183,77,Fayetteville State University,1968,Gastonia,North Carolina
Sergei Bazarevich,188,76,,1965,Moscow,Russia
Elmer Bennett,183,77,University of Notre Dame,1970,Evanston,Illinois
James Blackwell,183,86,Dartmouth College,1968,Mount Kisco,New York
Tim Breaux,201,97,University of Wyoming,1970,Baton Rouge,Louisiana
Chris Childs,190,88,Boise State University,1967,Bakersfield,California
Bill Curley,206,99,Boston College,1972,Boston,Massachusetts
Yinka Dare,213,120,George Washington University,1972,Kano,Nigeria
Tony Dumas,198,86,University of Missouri-Kansas City,1972,Chicago,Illinois
Howard Eisley,188,80,Boston College,1972,Detroit,Michigan
Matt Fish,211,106,University of North Carolina at Wilmington,1969,Washington,Iowa
Brian Grant,206,115,Xavier University,1972,Columbus,Ohio
Darrin Hancock,201,92,University of Kansas,1971,Birmingham,Alabama
Jerome Harmon,193,86,University of Louisville,1969,Gary,Indiana
Grant Hill,203,102,Duke University,1972,Dallas,Texas
Tom Hovasse,203,92,Pennsylvania State University,1967,Durango,Colorado
Juwan Howard,206,108,University of Michigan,1973,Chicago,Illinois
Askia Jones,196,90,Kansas State University,1971,Philadelphia,Pennsylvania
Eddie Jones,208,102,"University of Nevada, Reno",1956,Fort Rucker,Alabama
Jason Kidd,193,92,University of California,1973,San Francisco,California
Antonio Lang,211,111,University of Arkansas,1966,Pine Bluff,Arkansas
Ryan Lorthridge,193,86,Jackson State University,1972,Nashville,Tennessee
Donyell Marshall,206,98,University of Connecticut,1973,Reading,Pennsylvania
Darrick Martin,180,77,"University of California, Los Angeles",1971,Denver,Colorado
Jim McIlvaine,216,108,Marquette University,1972,Racine,Wisconsin
Aaron McKie,196,94,Temple University,1972,Philadelphia,Pennsylvania
Anthony Miller,206,102,Michigan State University,1971,Benton Harbor,Michigan
Greg Minor,198,95,University of Louisville,1971,Sandersville,Georgia
Eric Mobley,211,106,University of Pittsburgh,1970,Bronx,New York
Eric Montross,213,122,University of North Carolina,1971,Indianapolis,Indiana
Dwayne Morton,201,88,University of Louisville,1971,Louisville,Kentucky
Lamond Murray,201,107,University of California,1973,Pasadena,California
Ivano Newbill,206,111,Georgia Institute of Technology,1970,Sedalia,Missouri
Julius Nwosu,208,115,Liberty University,1971,Nkwere,Nigeria
Wesley Person,198,88,Auburn University,1971,Crenshaw,Alabama
Derrick Phelps,193,82,University of North Carolina,1972,Queens,New York
Eric Piatkowski,201,97,University of Nebraska,1970,Steubenville,Ohio
Eldridge Recasner,190,86,University of Washington,1967,New Orleans,Louisiana
Khalid Reeves,190,90,University of Arizona,1972,Queens,New York
Glenn Robinson,201,102,Purdue University,1973,Gary,Indiana
Carlos Rogers,211,99,Tennessee State University,1971,Detroit,Michigan
Jalen Rose,203,95,University of Michigan,1973,Detroit,Michigan
Clifford Rozier,211,111,University of Louisville,1972,Bradenton,Florida
Trevor Ruffin,185,83,University of Hawaii,1970,Buffalo,New York
Dickey Simpkins,206,112,Providence College,1972,Fort Washington,Maryland
Reggie Slater,201,97,University of Wyoming,1970,Houston,Texas
Mark Strickland,206,95,Temple University,1970,Atlanta,Georgia
Aaron Swinson,196,104,Auburn University,1971,Brunswick,Georgia
Zan Tabak,213,111,,1970,Split,Croatia
Brooks Thompson,193,87,Oklahoma State University,1970,Dallas,Texas
Anthony Tucker,203,99,Wake Forest University,1969,Washington,District of Columbia
B.J. Tyler,203,99,,1969,,
Fred Vinson,193,86,Georgia Institute of Technology,1971,Murfreesboro,North Carolina
Charlie Ward,188,86,Florida State University,1970,Thomasville,Georgia
Jamie Watson,201,86,University of South Carolina,1972,Elm City,North Carolina
Monty Williams,203,102,University of Notre Dame,1971,Fredericksburg,Virginia
Dontonio Wingfield,203,116,University of Cincinnati,1974,Albany,Georgia
Sharone Wright,211,117,Clemson University,1973,Macon,Georgia
Cory Alexander,185,83,University of Virginia,1973,Waynesboro,Virginia
Jerome Allen,193,83,University of Pennsylvania,1973,Philadelphia,Pennsylvania
John Amaechi,208,122,Pennsylvania State University,1970,Boston,Massachusetts
Ashraf Amaya,203,104,Southern Illinois University,1971,Oak Park,Illinois
Brent Barry,198,83,Oregon State University,1971,Hempstead,New York
Corey Beck,185,86,University of Arkansas,1971,Memphis,Tennessee
Mario Bennett,198,106,Arizona State University,1973,Denton,Texas
Travis Best,180,82,Georgia Institute of Technology,1972,Springfield,Massachusetts
Melvin Booker,185,83,University of Missouri,1972,Pascagoula,Mississippi
Donnie Boyce,196,88,University of Colorado,1973,Chicago,Illinois
Marques Bragg,203,104,Providence College,1970,East Orange,New Jersey
Junior Burrough,203,109,University of Virginia,1973,Charlotte,North Carolina
Jason Caffey,203,115,University of Alabama,1973,Mobile,Alabama
Chris Carr,196,93,Southern Illinois University,1974,Ironton,Missouri
Randolph Childress,188,85,Wake Forest University,1972,Washington,District of Columbia
Robert Churchwell,198,88,Georgetown University,1972,South Bend,Indiana
Charles Claxton,213,120,University of Georgia,1970,St. Thomas,U.S. Virgin Islands
John Coker,213,114,Boise State University,1971,Richland,Washington
Rastko Cvetkovic,216,117,,1970,Belgrade,Serbia
Sasha Danilovic,196,90,,1970,Sarajevo,Bosnia and Herzegovina
Andrew DeClercq,208,104,University of Florida,1973,Detroit,Michigan
Tyus Edney,178,68,"University of California, Los Angeles",1973,Gardena,California
Vincenzo Esposito,190,89,,1969,Caserta,Italy
Michael Finley,201,97,University of Wisconsin,1973,Melrose Park,Illinois
Sherell Ford,201,95,University of Illinois at Chicago,1972,Baton Rouge,Louisiana
Kevin Garnett,211,108,,1976,Mauldin,South Carolina
Anthony Goldwire,185,82,University of Houston,1971,West Palm Beach,Florida
Thomas Hamilton,218,149,University of Pittsburgh,1975,Chicago,Illinois
Alvin Heggs,203,102,University of Texas at Austin,1967,Jacksonville,Florida
Alan Henderson,206,106,Indiana University,1972,Indianapolis,Indiana
Fred Hoiberg,193,92,Iowa State University,1972,Lincoln,Nebraska
Darryl Johnson,201,95,Syracuse University,1970,Morgan City,Louisiana
Frankie King,185,83,Western Carolina University,1972,Baxley,Georgia
Jimmy King,188,79,University of Tulsa,1941,Tulsa,Oklahoma
Voshon Lenard,193,92,University of Minnesota,1973,Detroit,Michigan
Cedric Lewis,208,106,University of Maryland,1969,Washington,District of Columbia
Martin Lewis,196,95,Seward County Community College,1975,Liberal,Kansas
Rich Manning,211,114,University of Washington,1970,Tacoma,Washington
Donny Marshall,206,98,University of Connecticut,1973,Reading,Pennsylvania
Cuonzo Martin,196,96,Purdue University,1971,St. Louis,Missouri
Clint McDaniel,193,81,University of Arkansas,1972,Tulsa,Oklahoma
Antonio McDyess,206,99,University of Alabama,1974,Quitman,Mississippi
Loren Meyer,208,116,Iowa State University,1972,Emmetsburg,Iowa
Lawrence Moten,196,83,Syracuse University,1972,Washington,District of Columbia
Todd Mundt,213,113,Delta State University,1970,Iowa City,Iowa
Howard Nathan,180,79,University of Louisiana at Monroe,1972,Peoria,Illinois
Ed O'Bannon,203,100,"University of California, Los Angeles",1972,Los Angeles,California
Greg Ostertag,218,127,University of Kansas,1973,Dallas,Texas
Cherokee Parks,196,95,Idaho State University,1973,,
Theo Ratliff,208,102,University of Wyoming,1973,Demopolis,Alabama
Bryant Reeves,213,124,Oklahoma State University,1973,Fort Smith,Arkansas
Don Reid,203,113,Georgetown University,1973,Washington,District of Columbia
Terrence Rencher,190,83,University of Texas at Austin,1973,Bronx,New York
Shawn Respert,185,88,Michigan State University,1972,Detroit,Michigan
Lou Roe,201,99,University of Massachusetts Amherst,1972,Atlantic City,New Jersey
Stefano Rusconi,206,108,,1968,Bassanod'Grappa,Italy
Arvydas Sabonis*,221,126,,1964,Kaunas,Lithuania
Joe Smith,213,106,University of Southern Colorado,1944,Columbus,Mississippi
Eric Snow,190,86,Michigan State University,1973,Canton,Ohio
Jerry Stackhouse,198,98,University of North Carolina,1974,Kinston,North Carolina
Damon Stoudamire,178,77,University of Arizona,1973,Portland,Oregon
Bob Sura,196,90,Florida State University,1973,Wilkes-Barre,Pennsylvania
Larry Sykes,206,115,Xavier University,1973,Toledo,Ohio
Kurt Thomas,206,104,Texas Christian University,1972,Dallas,Texas
Gary Trent,203,113,Ohio University,1974,Columbus,Ohio
Logan Vander,203,97,University of Wisconsin-Green Bay,1971,Valders,Wisconsin
David Vaughn,211,99,Oral Roberts University,1952,Nashville,Tennessee
Rasheed Wallace,208,102,University of North Carolina,1974,Philadelphia,Pennsylvania
Jeff Webster,203,105,University of Oklahoma,1971,Pine Bluff,Arkansas
Dwayne Whitfield,206,108,Jackson State University,1972,Aberdeen,Mississippi
Eric Williams,203,99,Providence College,1972,Newark,New Jersey
Corliss Williamson,188,86,Oklahoma State University,1970,Twiggs,Georgia
George Zidek,213,113,"University of California, Los Angeles",1973,Zlin,Czech Republic
Shareef Abdur-Rahim,206,102,University of California,1976,Marietta,Georgia
Ray Allen,203,99,Florida State University,1965,Milton,Florida
Shandon Anderson,198,94,University of Georgia,1973,Atlanta,Georgia
Dexter Boney,193,83,"University of Nevada, Las Vegas",1970,Wilmington,Delaware
Bruce Bowen,201,83,"California State University, Fullerton",1971,Merced,California
Mark Bradtke,208,120,,1968,Adelaide,Australia
Marcus Brown,190,83,Murray State University,1974,West Memphis,Arkansas
Kobe Bryant,198,96,,1978,Philadelphia,Pennsylvania
Marcus Camby,211,99,University of Massachusetts Amherst,1974,Hartford,Connecticut
Jimmy Carruth,208,120,Virginia Polytechnic Institute and State University,1969,El Paso,Texas
Erick Dampier,211,120,Mississippi State University,1975,Jackson,Mississippi
Ben Davis,206,108,University of Arizona,1972,Vero Beach,Florida
Emanual Davis,193,88,Delaware State University,1968,Philadelphia,Pennsylvania
Tony Delk,185,85,University of Kentucky,1974,Covington,Tennessee
Aleksandar Djordjevic,188,89,,1967,Belgrade,Serbia
Nate Driggers,196,97,University of Montevallo,1973,Chicago,Illinois
Brian Evans,203,99,Indiana University,1973,Rockford,Illinois
Jamie Feick,206,115,Michigan State University,1974,Lexington,Ohio
Derek Fisher,185,90,University of Arkansas at Little Rock,1974,Little Rock,Arkansas
Todd Fuller,193,81,Pepperdine University,1958,Detroit,Michigan
Dean Garrett,208,102,Indiana University,1966,Los Angeles,California
Reggie Geary,188,84,University of Arizona,1973,Trenton,New Jersey
Devin Gray,201,108,Clemson University,1972,Baltimore,Maryland
Evric Gray,201,106,"University of Nevada, Las Vegas",1969,Bloomington,California
Darvin Ham,201,99,Texas Tech University,1973,Saginaw,Michigan
Steve Hamer,213,111,University of Tennessee,1973,Memphis,Tennessee
Othella Harrington,206,106,Georgetown University,1974,Jackson,Mississippi
Michael Hawkins,183,80,Xavier University,1972,Canton,Ohio
Shane Heal,183,81,,1970,Melbourne,Australia
Mark Hendrickson,206,99,Washington State University,1974,Mount Vernon,Washington
Allen Iverson*,183,74,Georgetown University,1975,Hampton,Virginia
Kerry Kittles,196,81,Villanova University,1974,Dayton,Ohio
Travis Knight,213,106,University of Connecticut,1974,Salt Lake City,Utah
Priest Lauderdale,224,147,Central State University,1973,Chicago,Illinois
Randy Livingston,193,94,Louisiana State University,1975,New Orleans,Louisiana
Horacio Llamas,211,129,Grand Canyon University,1973,El Rosario,Mexico
Matt Maloney,190,87,University of Pennsylvania,1971,Silver Spring,Maryland
Stephon Marbury,188,81,Georgia Institute of Technology,1977,Brooklyn,New York
Walter McCarty,208,104,University of Kentucky,1974,Evansville,Indiana
Amal McCaskill,211,106,Marquette University,1973,Maywood,Illinois
Jeff McInnis,193,86,University of North Carolina,1974,Charlotte,North Carolina
Martin Muursepp,206,106,,1974,Tallinn,Estonia
Steve Nash,190,88,Santa Clara University,1974,Johannesburg,South Africa
Ruben Nembhard,190,94,Weber State University,1972,Bronx,New York
Gaylon Nickerson,190,86,Northwestern Oklahoma State University,1969,Osecola,Arkansas
Moochie Norris,185,79,University of West Florida,1973,Washington,District of Columbia
Jermaine O'Neal,211,102,,1978,Columbia,South Carolina
Ray Owes,206,101,University of Arizona,1972,San Bernardino,California
Vitaly Potapenko,208,127,Wright State University,1975,Kiev,Ukraine
Chris Robinson,196,90,Western Kentucky University,1974,Columbus,Georgia
Roy Rogers,201,106,Wake Forest University,1971,Durham,North Carolina
Malik Rose,201,113,Drexel University,1974,Philadelphia,Pennsylvania
Kevin Salvadori,213,104,University of North Carolina,1970,Wheeling,West Virginia
